Statistics,TL079,SF263,SF185,SF169,SF054,SF175,SF032,SF117,SF108,TL272,SF038,SF077,SF270,SF061,TL332,SF174,SF296,SF252,SF319,SF135,SF144,SF024,SF129,SF188,SF227,SF098,SF109,SF045,TL567,SF302,SF055,SF058,SF273,TL239,SF168,SF123,SF066,SF244,SF133,SF272,SF064,SF173,SF221,SF172,SF254,SF150,TL028,SF190,SF121,SF102,SF099,SF074,SF081,SF222,SF268,SF303,TL788,SF285,TL639,SF261,SF271,SF120,SF031,SF192,SF151,SF257,SF183,SF001,SF217,SF106,SF266,SF142,SF306,SF255,SF116,SF180,SF145,SF052,SF110,SF164,SF130,SF137,SF210,SF097,SF253,SF003,SF087,SF047,SF294,SF224,SF011,SF065,SF103,SF207,SF205,SF056,SF007,SF161,SF292,SF225,SF274,SF041,SF170,SF198,SF025,SF215,SF318,TL306,SF013,SF237,SF134,SF019,SF275,SF208,SF053,SF154,SF279,TL436,SF219,SF300,SF315,TL587,SF075,TL526,SF295,SF241,SF067,SF113,TL008,SF281,SF203,SF091,SF320,SF070,TL553,SF012,SF226,SF026,SF238,SF264,SF176,SF153,SF313,TL548,SF209,TL443,TL258,SF256,SF018,SF139,SF009,SF197,SF290,TL142,SF057,SF299,SF163,TL568,SF202,SF148,SF184,SF017,SF171,SF140,SF063,SF220,SF260,SF240,SF187,SF199,SF307,SF124,SF104,SF039,SF008,SF156,SF181,TL413,SF021,SF248,SF213,SF131,SF119,TL704,TL366,SF034,TL657,SF060,SF068,SF015,SF096,SF051,SF004,SF027,SF251,SF088,TL346,SF212,SF216,SF071,SF178,SF138,TL379,SF112,SF149,SF043,SF005,SF250,SF093,SF042,SF092,SF128,SF159,SF191,SF160,SF304,SF311,SF223,SF146,TL722,TL473,SF229,SF118,TL327,SF046,TL026,SF291,SF141,SF243,SF283,SF316,SF079,SF245,SF028,SF086,SF049,SF194,SF085,TL347,TL001,SF239,SF072,SF269,SF111,SF022,TL046,SF165,SF100,SF204,SF082,SF200,TL400,SF158,SF076,TL167
1-SPFP,0.0,0.817929117443,0.668508287293,0.807780507781,0.857938611655,0.823255813953,0.796998420221,0.878923766816,0.0,0.0,0.812754409769,0.676927502877,0.875690607735,0.731060606061,0.0,0.948979591837,0.882882882883,0.87786259542,0.679442508711,0.598765432099,0.641440501044,0.484516928159,0.798026998962,0.760848468044,0.812974465148,0.925438596491,0.755843554733,0.908477694312,0.0,0.306557377049,0.712050078247,0.803402646503,0.885906040268,0.0,0.758373205742,0.0,0.792717889908,0.730024213075,0.551031790296,0.605538013116,0.565354330709,0.788501026694,0.888888888889,0.802627558815,0.427685149283,0.857142857143,0.0,0.804421768707,0.89939637827,0.893186813187,0.788461538462,0.655437799647,0.903743315508,0.966702470462,0.949320148331,0.900414937759,0.0,0.511699507389,0.0,0.871544715447,0.814802298074,0.787366548043,0.466154300916,0.903155603917,0.778927911275,0.842832469775,0.870556061987,1.0,0.847826086957,0.752267634191,0.529069767442,0.739880952381,0.207547169811,0.780864197531,0.539093559502,0.757306226175,0.828282828283,0.814001021972,0.930811808118,0.758620689655,0.646612149533,0.969088098918,0.371762740184,0.723684210526,0.894444444444,0.558407079646,0.700270635995,0.890345649583,0.9375,0.904153354633,0.173076923077,0.719987329743,0.90308561495,0.894671623296,0.754180602007,0.601898734177,0.390476190476,0.641901576684,0.689818468824,0.603092783505,0.0,0.71737545565,0.842465753425,0.399627560521,0.945017182131,0.835774058577,0.854586129754,0.0,0.84051978736,0.959016393443,0.770833333333,0.938144329897,0.559459459459,0.861419604056,0.4248395967,0.958762886598,0.823262839879,0.891472868217,0.655729028844,0.870930232558,0.358902181562,0.88202247191,0.764331210191,0.0,0.786786786787,0.775112443778,0.8261019879,0.756554307116,0.0,0.788844621514,0.8847406665,0.796352583587,0.799189059171,0.726847689265,0.0,0.948717948718,0.5942995755,0.5234375,0.915224913495,0.889789303079,0.382930513595,0.815602836879,0.834951456311,1.0,0.268315889629,0.0,0.0,0.774901960784,0.851497005988,0.744029393754,0.829037800687,0.717329545455,0.812895069532,0.0,0.81399132321,0.556705476498,0.887159533074,0.0,0.5,0.696458684654,0.911917098446,0.209057551178,0.523442136499,0.863636363636,0.69635193133,0.781673541544,0.544036235531,0.711010852335,0.993150684932,0.73125,0.814597588791,0.84,0.622998544396,0.828100358423,0.608094262295,0.988095238095,0.658181818182,0.0,0.518703241895,0.0,0.6052141527,0.809978515159,0.47619047619,0.0,0.0,0.7170761176,0.0,0.536677240285,0.948412698413,0.966292134831,0.901960784314,0.872164948454,1.0,0.55174981385,0.572289156627,0.847058823529,0.0,0.834862385321,0.727810650888,1.0,0.842105263158,0.861916461916,0.925925925926,0.755378858746,0.80274577876,0.729437229437,0.860606763733,0.744605529332,0.811771238201,0.75049774704,0.538031319911,0.553395061728,0.702380952381,0.824655894674,1.0,0.774523641496,0.646020347098,0.89552238806,0.608383023501,0.901639344262,0.84375,0.777564717162,0.85483055134,0.0,0.574406130268,0.0,0.906896551724,0.812319538017,0.66765140325,0.907930720146,0.852479338843,0.0,0.758595988539,0.0,0.596048298573,0.672917575229,0.720125786164,0.851322249978,0.0,0.0,0.829525483304,0.766233766234,0.815760750928,0.674666666667,0.738486842105,0.0,0.9,0.141551164848,0.186513629842,0.859728506787,0.650707290533,0.0,0.531034482759,0.341601255887,0.0
1-SPFN,0.0,0.567228915663,0.562790697674,0.816676326902,0.805169989545,0.772925764192,0.36811382707,0.445454545455,0.0,0.0,0.796542553191,0.615002613696,0.855831533477,0.625607779579,0.0,0.989361702128,0.316129032258,0.349190283401,0.306764551652,0.413646055437,0.381440099317,0.153921825813,0.456625074272,0.730856305766,0.778071334214,0.172244897959,0.733085358815,0.80642307954,0.0,0.14639874739,0.646766169154,0.260896255371,0.87707641196,0.0,0.689880304679,0.0,0.754433833561,0.451685393258,0.449090909091,0.516202505435,0.499536178108,0.333333333333,0.0759493670886,0.806818181818,0.21195234435,0.212488350419,0.0,0.344250363901,0.580519480519,0.648993931651,0.395657418577,0.435822147651,0.730021598272,0.96256684492,0.933171324423,0.264634146341,0.0,0.280080889788,0.0,0.785923753666,0.685722411832,0.654585798817,0.226060779817,0.801158301158,0.742685935848,0.81537176274,0.330564209069,0.108714408973,0.197635135135,0.785372103387,0.113987473904,0.558400718778,0.00664251207729,0.711673699015,0.336253926269,0.600201409869,0.315384615385,0.410214592275,0.881222707424,0.11786952411,0.385177453027,0.922058823529,0.299461641992,0.174695606141,0.495384615385,0.179465301479,0.450685826257,0.618377483444,0.0862895493768,0.894625922023,0.0777016969336,0.616824966079,0.845746845747,0.798672566372,0.14281190627,0.476262019231,0.146115466857,0.621128062876,0.378518839324,0.127973748975,0.0,0.710059171598,0.233840304183,0.326338199513,0.951557093426,0.28313253012,0.149627888758,0.0,0.75570897504,0.326815642458,0.571996466431,0.0984848484848,0.365724381625,0.810540663335,0.23099925243,0.905844155844,0.659407138536,0.268691588785,0.411354581673,0.917892156863,0.292598967298,0.415343915344,0.516795865633,0.0,0.759420289855,0.915044247788,0.692407997682,0.200297471492,0.0,0.779527559055,0.865653346408,0.270661157025,0.615193355552,0.713945067562,0.0,0.129257641921,0.253886010363,0.390101892285,0.604571428571,0.662243667069,0.140035906643,0.0803493449782,0.575892857143,0.502673796791,0.157307549275,0.0,0.0,0.567816091954,0.898862199747,0.61737804878,0.246992577425,0.667107001321,0.104112694301,0.0,0.682272727273,0.369808077915,0.400984875132,0.0,0.19595959596,0.433004822814,0.676923076923,0.103144354455,0.288047028086,0.184525736484,0.535368117138,0.54032586558,0.257564927329,0.418232678238,0.235008103728,0.476578411405,0.625312656328,0.224708171206,0.340673918811,0.873695356224,0.364110429448,0.0933108487915,0.921119592875,0.0,0.176570458404,0.0,0.587703435805,0.692873187666,0.0724187875026,0.0,0.0,0.489619139282,0.0,0.342052059641,0.535874439462,0.481792717087,0.27380952381,0.536802030457,0.00843170320405,0.370314842579,0.636160714286,0.258992805755,0.0,0.0786516853933,0.0724594992636,0.0898876404494,0.620689655172,0.701412956545,0.068306010929,0.28328363445,0.760104594696,0.226783310902,0.826011914704,0.65866388309,0.481792717087,0.643833153542,0.185071181224,0.27047820184,0.228039353479,0.780294450736,0.0647840531561,0.71661769507,0.577736151994,0.753138075314,0.391446626044,0.733333333333,0.131067961165,0.51475721993,0.625462620281,0.0,0.384646962233,0.0,0.285146367907,0.772893772894,0.592786885246,0.356605800215,0.563815250068,0.0,0.575230852797,0.0,0.510098637858,0.53988803359,0.559902200489,0.788243739033,0.0,0.0,0.893939393939,0.7824933687,0.768139773895,0.384498480243,0.348602484472,0.0,0.167796610169,0.0751879699248,0.0906555090656,0.142857142857,0.246090534979,0.0,0.0161493288591,0.131416837782,0.0
SP-Score,0.0,0.692579016553,0.615649492484,0.812228417341,0.8315543006,0.798090789073,0.582556123646,0.662189156135,0.0,0.0,0.80464848148,0.645965058286,0.865761070606,0.67833419282,0.0,0.969170646982,0.59950595757,0.61352643941,0.493103530181,0.506205743768,0.511440300181,0.319219376986,0.627326036617,0.745852386905,0.795522899681,0.548841747225,0.744464456774,0.857450386926,0.0,0.22647806222,0.679408123701,0.532149450937,0.881491226114,0.0,0.72412675521,0.0,0.773575861734,0.590854803167,0.500061349693,0.560870259276,0.532445254408,0.560917180014,0.482419127989,0.804722870316,0.319818746817,0.534815603781,0.0,0.574336066304,0.739957929395,0.771090372419,0.592059478519,0.545629973649,0.81688245689,0.964634657691,0.941245736377,0.58252454205,0.0,0.395890198588,0.0,0.828734234556,0.750262354953,0.72097617343,0.346107540366,0.852156952538,0.760806923562,0.829102116258,0.600560135528,0.554357204487,0.522730611046,0.768819868789,0.321528620673,0.64914083558,0.107094840944,0.746268948273,0.437673742885,0.678753818022,0.571833721834,0.612107807124,0.906017257771,0.438245106882,0.51589480128,0.945573461224,0.335612191088,0.449189908334,0.694914529915,0.368936190562,0.575478231126,0.754361566513,0.511894774688,0.899389638328,0.125389310005,0.668406147911,0.874416230348,0.846672094834,0.448496254138,0.539080376704,0.268295828666,0.63151481978,0.534168654074,0.36553326624,0.0,0.713717313624,0.538153028804,0.362982880017,0.948287137778,0.559453294349,0.502107009256,0.0,0.7981143812,0.64291601795,0.671414899882,0.518314589191,0.462591920542,0.835980133695,0.327919424565,0.932303521221,0.741334989208,0.580082228501,0.533541805258,0.89441119471,0.32575057443,0.648683193627,0.640563537912,0.0,0.773103538321,0.845078345783,0.759254992791,0.478425889304,0.0,0.784186090285,0.875197006454,0.533506870306,0.707191207362,0.720396378413,0.0,0.53898779532,0.424092792931,0.456769696143,0.759898171033,0.776016485074,0.261483210119,0.447976090929,0.705422156727,0.751336898396,0.212811719452,0.0,0.0,0.671359026369,0.875179602868,0.680703721267,0.538015189056,0.692218273388,0.458503881916,0.0,0.748132025242,0.463256777207,0.644072204103,0.0,0.34797979798,0.564731753734,0.794420087684,0.156100952816,0.405744582292,0.52408105006,0.615860024234,0.660999703562,0.40080058143,0.564621765287,0.61407939433,0.603914205703,0.71995512256,0.532354085603,0.481836231604,0.850897857324,0.486102345871,0.540703043443,0.789650705529,0.0,0.34763685015,0.0,0.596458794252,0.751425851412,0.274304631847,0.0,0.0,0.603347628441,0.0,0.439364649963,0.742143568937,0.724042425959,0.587885154062,0.704483489455,0.504215851602,0.461032328214,0.604224935456,0.553025814642,0.0,0.456757035357,0.400135075076,0.544943820225,0.731397459165,0.781664709231,0.497115968427,0.519331246598,0.781425186728,0.478110270169,0.843309339219,0.701634706211,0.646781977644,0.697165450291,0.361551250567,0.411936631784,0.46521015293,0.802475172705,0.532392026578,0.745570668283,0.611878249546,0.824330231687,0.499914824772,0.817486338798,0.487408980583,0.646160968546,0.740146585811,0.0,0.479526546251,0.0,0.596021459816,0.792606655456,0.630219144248,0.63226826018,0.708147294456,0.0,0.666913420668,0.0,0.553073468216,0.606402804409,0.640013993326,0.819782994506,0.0,0.0,0.861732438622,0.774363567467,0.791950262411,0.529582573455,0.543544663289,0.0,0.533898305085,0.108369567386,0.138584569454,0.501292824822,0.448398912756,0.0,0.273591905809,0.236509046835,0.0
TC,0.0,0.242990654206,0.230769230769,0.367567567568,0.27358490566,0.597701149425,0.139072847682,0.441860465116,0.0,0.0,0.676470588235,0.166666666667,0.697674418605,0.453333333333,0.0,0.96875,0.110169491525,0.192,0.0895953757225,0.241803278689,0.02,0.113695090439,0.069696969697,0.289940828402,0.609489051095,0.130434782609,0.00505050505051,0.381067961165,0.0,0.0187165775401,0.314285714286,0.0652173913043,0.785046728972,0.0,0.372093023256,0.0,0.231707317073,0.25,0.0538461538462,0.117424242424,0.0606060606061,0.166666666667,0.0,0.405063291139,0.00810810810811,0.062015503876,0.0,0.0871080139373,0.480620155039,0.341614906832,0.208737864078,0.105263157895,0.547619047619,0.926751592357,0.875,0.167330677291,0.0,0.08,0.0,0.466666666667,0.41847826087,0.396551724138,0.10162601626,0.470588235294,0.525073746313,0.598484848485,0.18487394958,0.0,0.125984251969,0.264864864865,0.0763358778626,0.319444444444,0.0,0.445283018868,0.0584269662921,0.433333333333,0.0824175824176,0.131964809384,0.809523809524,0.0729166666667,0.18009478673,0.763157894737,0.0175,0.111627906977,0.398230088496,0.334328358209,0.0872483221477,0.112244897959,0.034965034965,0.792899408284,0.00943396226415,0.282700421941,0.631944444444,0.583333333333,0.0121457489879,0.081589958159,0.0326530612245,0.106951871658,0.255319148936,0.0314960629921,0.0,0.187969924812,0.159292035398,0.0406698564593,0.88,0.0448430493274,0.0,0.0,0.46875,0.180555555556,0.22754491018,0.00909090909091,0.255172413793,0.414634146341,0.0608365019011,0.830188679245,0.246861924686,0.0,0.0506993006993,0.709677419355,0.00392156862745,0.352941176471,0.365019011407,0.0,0.616,0.687224669604,0.308673469388,0.215639810427,0.0,0.711111111111,0.69020501139,0.165217391304,0.263713080169,0.103225806452,0.0,0.0753968253968,0.0,0.35652173913,0.194805194805,0.450549450549,0.0308641975309,0.0606060606061,0.397590361446,0.405063291139,0.0512333965844,0.0,0.0,0.26582278481,0.729166666667,0.445086705202,0.0657276995305,0.38255033557,0.102040816327,0.0,0.131782945736,0.0619469026549,0.401247401247,0.0,0.0285714285714,0.124567474048,0.571428571429,0.068281938326,0.064,0.0125,0.128571428571,0.2578125,0.0625,0.063829787234,0.0952380952381,0.054347826087,0.238095238095,0.153645833333,0.040625,0.378947368421,0.0208333333333,0.187165775401,0.689440993789,0.0,0.0884146341463,0.0,0.235849056604,0.185185185185,0.0,0.0,0.0,0.160621761658,0.0,0.0387596899225,0.430693069307,0.228346456693,0.166666666667,0.398936170213,0.0,0.156146179402,0.370786516854,0.030612244898,0.0,0.0191082802548,0.0,0.0188679245283,0.286995515695,0.281437125749,0.037037037037,0.0791666666667,0.115384615385,0.265486725664,0.38,0.167346938776,0.0,0.113689095128,0.00826446280992,0.0600858369099,0.0881542699725,0.536231884058,0.0560344827586,0.340425531915,0.136029411765,0.625,0.138121546961,0.586538461538,0.012987012987,0.337278106509,0.00934579439252,0.0,0.106976744186,0.0,0.0402298850575,0.458333333333,0.225563909774,0.263929618768,0.353070175439,0.0,0.300847457627,0.0,0.0765306122449,0.185714285714,0.406896551724,0.406614785992,0.0,0.0,0.679611650485,0.525,0.473880597015,0.203488372093,0.00806451612903,0.0,0.046875,0.0,0.0464285714286,0.0106382978723,0.1,0.0,0.00529100529101,0.0112359550562,0.0
Modeler,0.0,0.817929117443,0.668508287293,0.807780507781,0.857938611655,0.823255813953,0.796998420221,0.878923766816,0.0,0.0,0.812754409769,0.676927502877,0.875690607735,0.731060606061,0.0,0.948979591837,0.882882882883,0.87786259542,0.679442508711,0.598765432099,0.641440501044,0.484516928159,0.798026998962,0.760848468044,0.812974465148,0.925438596491,0.755843554733,0.908477694312,0.0,0.306557377049,0.712050078247,0.803402646503,0.885906040268,0.0,0.758373205742,0.0,0.792717889908,0.730024213075,0.551031790296,0.605538013116,0.565354330709,0.788501026694,0.888888888889,0.802627558815,0.427685149283,0.857142857143,0.0,0.804421768707,0.89939637827,0.893186813187,0.788461538462,0.655437799647,0.903743315508,0.966702470462,0.949320148331,0.900414937759,0.0,0.511699507389,0.0,0.871544715447,0.814802298074,0.787366548043,0.466154300916,0.903155603917,0.778927911275,0.842832469775,0.870556061987,1.0,0.847826086957,0.752267634191,0.529069767442,0.739880952381,0.207547169811,0.780864197531,0.539093559502,0.757306226175,0.828282828283,0.814001021972,0.930811808118,0.758620689655,0.646612149533,0.969088098918,0.371762740184,0.723684210526,0.894444444444,0.558407079646,0.700270635995,0.890345649583,0.9375,0.904153354633,0.173076923077,0.719987329743,0.90308561495,0.894671623296,0.754180602007,0.601898734177,0.390476190476,0.641901576684,0.689818468824,0.603092783505,0.0,0.71737545565,0.842465753425,0.399627560521,0.945017182131,0.835774058577,0.854586129754,0.0,0.84051978736,0.959016393443,0.770833333333,0.938144329897,0.559459459459,0.861419604056,0.4248395967,0.958762886598,0.823262839879,0.891472868217,0.655729028844,0.870930232558,0.358902181562,0.88202247191,0.764331210191,0.0,0.786786786787,0.775112443778,0.8261019879,0.756554307116,0.0,0.788844621514,0.8847406665,0.796352583587,0.799189059171,0.726847689265,0.0,0.948717948718,0.5942995755,0.5234375,0.915224913495,0.889789303079,0.382930513595,0.815602836879,0.834951456311,1.0,0.268315889629,0.0,0.0,0.774901960784,0.851497005988,0.744029393754,0.829037800687,0.717329545455,0.812895069532,0.0,0.81399132321,0.556705476498,0.887159533074,0.0,0.5,0.696458684654,0.911917098446,0.209057551178,0.523442136499,0.863636363636,0.69635193133,0.781673541544,0.544036235531,0.711010852335,0.993150684932,0.73125,0.814597588791,0.84,0.622998544396,0.828100358423,0.608094262295,0.988095238095,0.658181818182,0.0,0.518703241895,0.0,0.6052141527,0.809978515159,0.47619047619,0.0,0.0,0.7170761176,0.0,0.536677240285,0.948412698413,0.966292134831,0.901960784314,0.872164948454,1.0,0.55174981385,0.572289156627,0.847058823529,0.0,0.834862385321,0.727810650888,1.0,0.842105263158,0.861916461916,0.925925925926,0.755378858746,0.80274577876,0.729437229437,0.860606763733,0.744605529332,0.811771238201,0.75049774704,0.538031319911,0.553395061728,0.702380952381,0.824655894674,1.0,0.774523641496,0.646020347098,0.89552238806,0.608383023501,0.901639344262,0.84375,0.777564717162,0.85483055134,0.0,0.574406130268,0.0,0.906896551724,0.812319538017,0.66765140325,0.907930720146,0.852479338843,0.0,0.758595988539,0.0,0.596048298573,0.672917575229,0.720125786164,0.851322249978,0.0,0.0,0.829525483304,0.766233766234,0.815760750928,0.674666666667,0.738486842105,0.0,0.9,0.141551164848,0.186513629842,0.859728506787,0.650707290533,0.0,0.531034482759,0.341601255887,0.0
Compression,2.0396825396825395,1.5445026178,1.52054794521,1.01293103448,1.46224677716,1.08064516129,1.49104859335,1.44522968198,1.95315315315,2.6017699115,1.04863221884,1.3201754386,1.03361344538,1.20720720721,1.59659090909,0.903614457831,1.63580246914,2.01058201058,1.20906801008,1.17804154303,1.5251396648,1.70085929108,1.75264270613,1.14126394052,1.09309309309,2.04365904366,1.1783919598,1.3970856102,1.90909090909,1.71372031662,1.27142857143,1.70309653916,0.985611510791,3.2125,1.2,2.36931818182,1.19444444444,1.45010615711,1.3640167364,1.08011049724,1.19879518072,1.58148148148,1.86547085202,0.930769230769,1.86931818182,2.05164319249,2.13422818792,1.6170212766,1.42941176471,1.42990654206,1.82369942197,1.93808411215,1.42857142857,1.01072386059,1.04848484848,2.12962962963,1.58431372549,1.45479452055,1.69194312796,1.08064516129,1.31272727273,1.40689655172,2.28045325779,1.28368794326,1.08687258687,1.09027777778,2.21100917431,3.55303030303,2.24242424242,0.993031358885,2.33333333333,1.50526315789,1.87937743191,1.14197530864,1.27889908257,1.424,1.79007633588,1.68160741886,1.07117437722,2.60664819945,1.71536523929,1.13567839196,1.07272727273,1.85849056604,1.49462365591,1.65072765073,1.5304136253,1.56643356643,2.404,1.01793721973,1.4094488189,1.26837060703,1.18484848485,1.16304347826,1.93392070485,1.36363636364,1.7462406015,1.08982035928,1.45215311005,2.29534883721,2.02014652015,1.08910891089,1.98076923077,1.14719101124,0.990476190476,2.27051671733,3.68852459016,2.15853658537,1.19105691057,1.51807228916,1.58928571429,2.93959731544,1.24561403509,1.21323529412,1.4770755886,1.06060606061,1.48238482385,1.53939393939,1.58561967833,0.90243902439,1.47123893805,1.60538116592,1.37226277372,1.91633466135,1.04697986577,0.820945945946,1.29765395894,1.9474393531,1.37370242215,0.993939393939,1.07485604607,1.75362318841,1.34640883978,1.11940298507,1.60582010582,1.73737373737,2.44636678201,1.35,1.72093023256,1.25870646766,2.0443285528,3.86016949153,1.41666666667,1.45925925926,1.48426966292,2.15957446809,1.78947368421,1.50295857988,0.882352941176,1.22637362637,2.25905292479,1.16525423729,2.38205980066,1.96226415094,1.3231441048,1.66666666667,1.53356481481,3.09523809524,1.66976744186,1.490625,1.43055555556,2.06177606178,1.38223938224,2.09589041096,1.3023255814,1.38599105812,2.45454545455,1.75622775801,1.60383386581,1.4064516129,1.45474613687,1.71035940803,1.36740331492,0.926470588235,1.73758865248,2.83895131086,0.673913043478,1.83248730964,1.67258883249,1.73839662447,1.19847328244,1.32768361582,3.22488038278,2.10344827586,1.5818815331,1.52624113475,1.57874015748,1.49873203719,1.43495934959,1.51396648045,1.59288537549,1.51709401709,2.46610169492,1.41610738255,0.852348993289,1.81746031746,1.98245614035,2.625,2.07740585774,2.18018018018,1.33228840125,1.45787545788,2.08974358974,2.18342151675,1.28,1.58296943231,1.26732673267,1.16901408451,2.25266903915,1.36776859504,2.07346938776,2.33333333333,1.59561920809,1.12781954887,1.6660988075,1.16981132075,1.16079295154,1.28155339806,1.50363196126,1.1724137931,2.37962962963,1.32403433476,1.60736196319,1.6456043956,1.03579588728,1.79411764706,2.4181184669,1.13991769547,1.28484848485,1.98723404255,1.71121351767,2.10773899848,1.45205479452,2.6149068323,1.15555555556,1.3275862069,1.30386740331,1.2466367713,1.71428571429,1.89349112426,0.8828125,0.981981981982,1.20054200542,1.76391231029,2.06918238994,1.86666666667,1.85477178423,1.50046948357,1.24046920821,2.57142857143,1.7556561086,1.56537102473,3.45983379501,2.33675564682,1.64375
Average Pairwise P-Distance,0.8695004848639999,0.830240634165,0.778929961678,0.804968510509,0.759799173129,0.632431818956,0.815565714707,0.818241190334,0.819956140351,0.864721494374,0.686902947154,0.763470643488,0.748275757806,0.791706587947,0.869749045281,0.648857526882,0.716047482211,0.853372513515,0.814322946983,0.781737597462,0.792134176935,0.841515202858,0.755606038075,0.748222392735,0.725282838924,0.8393968564,0.770291335261,0.726165796418,0.826513213981,0.855790518777,0.75917552022,0.830959258849,0.675496334456,0.854173943848,0.785510949381,0.854275898394,0.800020015902,0.798441233315,0.795348288758,0.806525359272,0.810371511644,0.758717665415,0.848936272622,0.727399954706,0.844318756589,0.84117680765,0.865119761969,0.808509889006,0.769726231989,0.762812643359,0.817934048516,0.804715416501,0.722416042023,0.621102044874,0.579843410852,0.797863831305,0.892845926763,0.838317775627,0.91598119859,0.733789594889,0.771097840703,0.720190850616,0.834135220076,0.732426502772,0.810364159278,0.701416138338,0.856992819553,0.845617184273,0.829384423346,0.7581930172,0.872637504629,0.830256266678,0.904053299954,0.722565440429,0.836264373102,0.838046287507,0.815710778137,0.822076643334,0.646084378966,0.883006846552,0.849007465321,0.562589394874,0.850158970031,0.81292432681,0.737379640452,0.858302720367,0.765045442658,0.70970707186,0.872972710439,0.694992576035,0.89173061366,0.812831963394,0.624301992431,0.750756748905,0.853911969806,0.820384217506,0.841388272493,0.840998400283,0.838483570419,0.844047399085,0.891191658565,0.788670189116,0.838723820722,0.870287694704,0.616068871707,0.813677097742,0.856286473107,0.831027667984,0.76715550631,0.814361001318,0.800924685342,0.837019396336,0.781586928582,0.817788023026,0.843500493055,0.565559160958,0.804869235778,0.864719437303,0.791986883895,0.690983337249,0.768054535769,0.852134512764,0.774338051894,0.893607893608,0.753260869565,0.719224425297,0.760214031901,0.856986842773,0.967276422764,0.759040755992,0.723837880142,0.821377516887,0.780619863241,0.744271065504,0.890007205541,0.833688798923,0.806974838343,0.784176558601,0.795503621599,0.754258899249,0.872960669904,0.884605842884,0.749480144348,0.8129395218,0.847394871068,0.916013243626,0.922297080024,0.801795415885,0.615466523602,0.814422013592,0.825768273158,0.824250130972,0.840732972395,0.902171555016,0.782015544893,0.841541017971,0.781245719678,0.913054893785,0.807183041015,0.838182402062,0.858561252669,0.833178561155,0.835072673481,0.849582701299,0.772615459476,0.779502111028,0.818052168694,0.764427983296,0.880344535105,0.756645321615,0.74696985449,0.881644769026,0.847652598253,0.773549674471,0.871988444892,0.886282856643,0.624311081639,0.893263639076,0.836157156674,0.869448525196,0.833903705436,0.73233924771,0.892102073805,0.880590534086,0.900158730159,0.74356370335,0.9298325109,0.817340815176,0.746382113821,0.718155882689,0.854911180773,0.736454024274,0.863944464689,0.800245106672,0.740567708033,0.856922602529,0.852240392954,0.845692567758,0.886645212138,0.795230788902,0.72413100465,0.720423334498,0.884270334182,0.803956517314,0.747899895915,0.840079217461,0.770470969964,0.784031848506,0.828496524325,0.783383294984,0.842436907897,0.854850882711,0.844538752305,0.751315502523,0.852583504875,0.728952254808,0.837572243464,0.750037012096,0.82164523058,0.853421368547,0.872143572144,0.767366493491,0.751939896246,0.888970300223,0.763719850898,0.938006930994,0.798769006994,0.716564943831,0.787105769092,0.812432058982,0.768021707351,0.894437225651,0.796293459073,0.851608540268,0.808176326615,0.784334533193,0.702223149984,0.729070242243,0.895096801347,0.90182946104,0.723936433557,0.783952404347,0.731683966597,0.847513331224,0.818228614145,0.921415262001,0.835107088955,0.871213888501,0.895910175457,0.82981936609,0.820529962658,0.921671671672,0.887802866891,0.871778568553,0.875042735043
